node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_AUT_SER,2026-06-08,0.3007,4.0,Medium,Serbia,Automotive,Automotive,0.3085,,,
TN_AUT_SYR,2026-06-08,0.3007,4.0,Medium,Syrian Arab Republic,Automotive,Automotive,0.324,,,
TN_AUT_TÜR,2026-06-08,0.3007,4.0,Medium,Türkiye,Automotive,Automotive,0.324,,,
TN_AUT_UKR,2026-06-08,0.3007,4.0,Medium,Ukraine,Automotive,Automotive,0.3785,,,
TN_AUT_UZB,2026-06-08,0.3007,4.0,Medium,Uzbekistan,Automotive,Automotive,0.3058,,,
TN_CHE_CHI,2026-06-08,0.3007,4.0,Medium,China,Chemicals,Chemicals,0.4232,,,
TN_CHE_SAU,2026-06-08,0.3007,4.0,Medium,Saudi Arabia,Chemicals,Chemicals,0.3254,,,
TN_CHE_REP,2026-06-08,0.3007,4.0,Medium,Republic of Korea,Chemicals,Chemicals,0.3397,,,
TN_CHE_IND,2026-06-08,0.3007,4.0,Medium,Indonesia,Chemicals,Chemicals,0.3184,,,
TN_CHE_MAL,2026-06-08,0.3007,4.0,Medium,Maldives,Chemicals,Chemicals,0.3074,,,
TN_CHE_JAP,2026-06-08,0.3007,4.0,Medium,Japan,Chemicals,Chemicals,0.2303,,,
TN_CHE_SIN,2026-06-08,0.3007,4.0,Medium,Singapore,Chemicals,Chemicals,0.2175,,,
TN_CHE_THA,2026-06-08,0.3007,4.0,Medium,Thailand,Chemicals,Chemicals,0.3228,,,
TN_CHE_GER,2026-06-08,0.3007,4.0,Medium,Germany,Chemicals,Chemicals,0.2138,,,
TN_CHE_UNI,2026-06-08,0.3007,4.0,Medium,United Kingdom of Great Britain and Northern Ireland,Chemicals,Chemicals,0.336,,,
TN_CHE_TAI,2026-06-08,0.3007,4.0,Medium,"Taiwan, Province of China",Chemicals,Chemicals,0.3374,,,
TN_CHE_BEL,2026-06-08,0.3007,4.0,Medium,Belarus,Chemicals,Chemicals,0.3249,,,
TN_CHE_QAT,2026-06-08,0.3007,4.0,Medium,Qatar,Chemicals,Chemicals,0.2525,,,
TN_CHE_KIN,2026-06-08,0.3007,4.0,Medium,Kingdom of the Netherlands,Chemicals,Chemicals,0.3364,,,
TN_CHE_VIE,2026-06-08,0.3007,4.0,Medium,Viet Nam,Chemicals,Chemicals,0.3364,,,
TN_CHE_KUW,2026-06-08,0.3007,4.0,Medium,Kuwait,Chemicals,Chemicals,0.2791,,,
TN_CHE_ITA,2026-06-08,0.3007,4.0,Medium,Italy,Chemicals,Chemicals,0.2575,,,
TN_CHE_FRA,2026-06-08,0.3007,4.0,Medium,France,Chemicals,Chemicals,0.2229,,,
TN_CHE_UKR,2026-06-08,0.3007,4.0,Medium,Ukraine,Chemicals,Chemicals,0.3906,,,
TN_CHE_JOR,2026-06-08,0.3007,4.0,Medium,Jordan,Chemicals,Chemicals,0.34,,,
TN_CHE_HON,2026-06-08,0.3007,4.0,Medium,Hong Kong,Chemicals,Chemicals,0.3007,,,
TN_CHE_ISL,2026-06-08,0.3007,4.0,Medium,Islamic Republic of Iran,Chemicals,Chemicals,0.336,,,
TN_CHE_OMA,2026-06-08,0.3007,4.0,Medium,Oman,Chemicals,Chemicals,0.2724,,,
TN_CHE_AUS,2026-06-08,0.3007,4.0,Medium,Austria,Chemicals,Chemicals,0.2112,,,
TN_CHE_SPA,2026-06-08,0.3007,4.0,Medium,Spain,Chemicals,Chemicals,0.2594,,,
TN_CHE_RUS,2026-06-08,0.3007,4.0,Medium,Russian Federation,Chemicals,Chemicals,0.3358,,,
TN_CHE_BAN,2026-06-08,0.3007,4.0,Medium,Bangladesh,Chemicals,Chemicals,0.3635,,,
TN_CHE_SWI,2026-06-08,0.3007,4.0,Medium,Switzerland,Chemicals,Chemicals,0.195,,,
TN_CHE_TUR,2026-06-08,0.3007,4.0,Medium,Turkey,Chemicals,Chemicals,0.3534,,,
TN_CHE_ISR,2026-06-08,0.3007,4.0,Medium,Israel,Chemicals,Chemicals,0.2606,,,
TN_CHE_SWE,2026-06-08,0.3007,4.0,Medium,Sweden,Chemicals,Chemicals,0.2018,,,
TN_CHE_BAH,2026-06-08,0.3007,4.0,Medium,Bahrain,Chemicals,Chemicals,0.313,,,
TN_CHE_DEN,2026-06-08,0.3007,4.0,Medium,Denmark,Chemicals,Chemicals,0.195,,,
TN_CHE_IRE,2026-06-08,0.3007,4.0,Medium,Ireland,Chemicals,Chemicals,0.199,,,
